"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1"
"02950099999","1904-01-08T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0159,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","10144,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-09T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","160,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10148,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-09T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","10150,1",
"02950099999","1904-01-09T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","10123,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-10T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","250,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10070,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-10T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","250,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10119,1",
"02950099999","1904-01-10T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10159,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-11T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10142,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-11T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0139,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10122,1",
"02950099999","1904-01-11T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0139,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10102,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-12T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10058,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-12T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","160,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10024,1",
"02950099999","1904-01-12T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","140,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09987,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-13T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","140,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09946,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
